> Hand-kept supplement: rows that only Humanizer-zh (Wikipedia:Signs of AI writing) or
> natural-talk carry, plus rows harvested from public complaint threads (source `hn-<item>`;
> see references/field-reports.md for who said each one and in what register). Rows already covered by deslop or shuorenhua are dropped at merge time
> by the match test in tools/build_lexicon.py, so overlap here is harmless.
lang	pattern	category	replacement	note	source
zh	标志着	puffery	(删掉，直接说发生了什么)		humanizer-zh
zh	见证了	puffery	(删掉)		humanizer-zh
zh	是.{0,8}的(体现|证明|缩影)	puffery	(直接陈述事实)		humanizer-zh
zh	彰显(了)?其?	puffery	(说清楚做了什么)		humanizer-zh
zh	反映了更广泛的	puffery	(删掉)		humanizer-zh
zh	象征着	puffery	(删掉，除非真在讲象征)	讨论符号学、纹章、宗教象征时是本义	humanizer-zh
zh	奠定(了)?.{0,6}基础	puffery	(说清楚后来发生了什么)		humanizer-zh
zh	(关键|重要)(的)?转折点	puffery	(给日期和事件)		humanizer-zh
zh	不断演变的(格局|生态|图景)	puffery	(删掉)		humanizer-zh
zh	深深植根于	puffery	(说清楚来源)		humanizer-zh
zh	独立(媒体)?报道	puffery	(给具体出处)		humanizer-zh
zh	活跃的社交媒体	puffery	(删掉，或给数据)		humanizer-zh
zh	坐落(于|在)	puffery	位于 · 在	写地理位置时用「在」	humanizer-zh
zh	令人叹为观止	puffery	(给具体数据)		humanizer-zh
zh	必(游|读|看)之(地|书)	puffery	(删掉)		humanizer-zh
zh	致力于	puffery	(说清楚做了什么)	机构章程、正式宗旨里是固定表述	humanizer-zh
zh	自然(之)?美(景|丽)	puffery	(说清楚是什么景观)		humanizer-zh
zh	开创性的	puffery	新的 · (给对比)	字面「开创」某个具体领域时放行	humanizer-zh
zh	尽管(存在|面临)(这些|若干|一些)挑战	template	(删掉整句，或说清楚挑战是什么)		humanizer-zh
zh	挑战与(未来)?展望	template	(改成具体计划或删掉)	作为真实的章节标题且下面确有具体内容时放行	humanizer-zh
zh	未来(可期|展望|前景(依然)?光明)	closer	(改成具体计划、日期、数字)		humanizer-zh
zh	与.{0,8}保持一致	vocab	和……一样 · 符合		humanizer-zh
zh	相互作用	vocab	互相影响		humanizer-zh
zh	织锦	puffery	(删掉)	字面纺织品放行	humanizer-zh
zh	截至我(最后)?的(训练|知识)	assistant	(删掉整句)	用户直接问知识截止时间时如实作答	natural-talk
zh	根据我(最后)?的训练(更新|数据)?	assistant	(删掉整句)		natural-talk
zh	虽然具体细节(有限|稀缺|没有广泛记录)	hedge	(去查，或直接说不知道)		humanizer-zh
zh	基于(现有|可用)信息	hedge	(说清楚信息是什么)		humanizer-zh
zh	作为(一个)?(AI|人工智能|语言模型)	assistant	(删掉整句)	用户直接问身份时如实、简短作答	natural-talk
zh	拆一拆	assistant	(删掉，直接说)		natural-talk
zh	盘一盘	assistant	(删掉，直接说)		natural-talk
zh	划重点	assistant	(删掉，直接说)		natural-talk
zh	敲黑板	assistant	(删掉，直接说)		natural-talk
zh	捋一捋	assistant	(删掉，直接说)	deslop 把「捋一遍」列为物理动作词，同族	natural-talk
zh	让我(来|为你)	assistant	(删掉，直接说)		natural-talk
zh	下面我们	assistant	(删掉，直接说)		natural-talk
zh	由此可见	closer	(删掉)		natural-talk
zh	数据告诉我们	shape	数据显示 · (给数字)		natural-talk
zh	问题变成了	shape	(直接说问题是什么)		natural-talk
zh	你(有很强的|的观察力|问到了)	stance	(删掉，只回应内容)		natural-talk
zh	这个角度很新颖	stance	(删掉，只回应内容)		natural-talk
zh	我完全理解(你的)?	empathy	(删掉，或改成低承诺回应)	对方遭遇坏消息时，安慰优先	natural-talk
zh	我懂你的	empathy	(删掉，或改成低承诺回应)	同上	natural-talk
en	marks? a (turning point|shift|milestone)	puffery	(give the date and the event)		humanizer-zh
en	bears? witness to	puffery	(cut)		humanizer-zh
en	is a (testament|reminder|reflection) (to|of)	puffery	(state the fact)		humanizer-zh
en	reflect(s|ing)? (a )?broader	puffery	(cut)		humanizer-zh
en	laid? the (ground|found)work for	puffery	(say what followed)		humanizer-zh
en	deeply rooted in	puffery	(say where it came from)		humanizer-zh
en	nestled (in|within|among)	puffery	in	Literal nesting (nested loops, nesting birds) is fine.	humanizer-zh
en	must-(visit|read|see)	puffery	(cut)		humanizer-zh
en	breathtaking	puffery	(give the number)		humanizer-zh
en	committed to	puffery	(say what they did)	A commitment with a date and an amount is a fact.	humanizer-zh
en	despite (these|some|several) challenges	template	(cut, or name the challenge)		humanizer-zh
en	challenges and (future )?(prospects|outlook)	template	(replace with a plan, or cut)	A real section with real content under it is fine.	humanizer-zh
en	the future (looks|is) bright	closer	(give the plan, date, number)		humanizer-zh
en	exciting times ahead	closer	(cut)		humanizer-zh
en	an? (interplay|tapestry|mosaic) of	puffery	(cut)		humanizer-zh
en	as of my (last )?(training|knowledge)	assistant	(cut the sentence)	Answer plainly if the user asked about the cutoff.	natural-talk
en	while (specific|exact) details (are|remain) (limited|scarce)	hedge	(go find out, or say you don't know)		humanizer-zh
en	based on (the )?available information	hedge	(say what the information is)		humanizer-zh
en	as an (AI|artificial intelligence|assistant)	assistant	(cut the sentence)	Answer plainly if the user asked who you are.	natural-talk
en	let'?s (dive in|break this down|unpack)	assistant	(cut, say the thing)		natural-talk
en	without further ado	assistant	(cut)		natural-talk
en	here'?s what you need to know	assistant	(cut)		natural-talk
en	you'?re absolutely right	assistant	(cut)		natural-talk
en	great question	assistant	(cut)		natural-talk
en	I hope (this|that) helps	assistant	(cut)		natural-talk
en	let me know if	assistant	(cut)		natural-talk
en	the data tells us	shape	the data shows · (give the number)		natural-talk
en	from [a-z ]{3,20} to [a-z ]{3,20}, and (from|everything)	shape	(name the actual span)	A real range with two endpoints on one scale is fine.	humanizer-zh
en	(let me|I'?ll) ground (my|this) (answer|response)	assistant	(cut)		hn-49388752
en	the blast radius (of|here|is)	borrowed	(what breaks, and where)		hn-49388752
en	careful surgery	borrowed	(say what has to be changed)		hn-49388752
en	(it|this) cuts (deeper|more deeply) than	template	(cut)		hn-49388752
en	(and honestly\?|honestly,) that changes (the game|everything)	closer	(cut)		hn-49388752
en	this changes everything	closer	(cut)		hn-49388752
en	that'?s a sharp (insight|observation)	assistant	(cut)		hn-49388752
en	(reveals|says) something (core|fundamental|deep) about	puffery	(state the thing)		hn-49388752
en	the (third|second|last) one is the most (instructive|interesting|telling)	template	(cut the ranking)		hn-49388752
en	say the word and I'?ll	closer	(ask the question plainly)		hn-49388752
en	do the joinery	borrowed	(name the work)		hn-49388752
en	your call on whether to	closer	(ask the question)		hn-49388752
en	to surface any wrinkles	puffery	(say what you would find out)		hn-49388752
en	the (spec|plan|design) drifted on	jargon	(name what changed)	drift is a term of art in some repos; see E6	hn-49388752
en	which is exactly the kind of	template	(cut)		hn-49388752
en	avoid the stock LLM register	editorial	(name the forms you mean)	the instruction written in the register it forbids	hn-49388752
en	load bearing	jargon	(say what it carries)	space-spelled variant; the hyphenated form is a separate row	hn-49388752
zh	账本	borrowed	清单 / 记录表 / 表	说清楚记的是什么。所写对象本身是会计时不算，见 E6。	user-ban
zh	记账	borrowed	记录 / 登记	同上。	user-ban
zh	台账	borrowed	登记表 / 清单		user-ban
zh	流水账	borrowed	(说清楚是按时间列的什么)		user-ban
zh	一本账	borrowed	(说清楚是哪一份记录)		user-ban
zh	算账	borrowed	(说清楚是核对还是追责)		user-ban
zh	欠债	borrowed	(说清楚欠下的是什么工作)		user-ban
zh	还债	borrowed	(说清楚要补做什么)		user-ban
zh	技术债	borrowed	(说清楚是哪些没做的整改)	领域里有人当固定名字用，按 E6 两条判；候选不等于判定。	user-ban
zh	透支	borrowed	(说清楚超出了什么)	所写对象本身是账户时不算。	user-ban
en	ledger	borrowed	record / list / table	literal in accounting and in distributed-ledger contexts; see E6.	user-ban
en	book-?keeping	borrowed	record-keeping		user-ban
en	technical debt	borrowed	(name the work that was not done)	some fields use it as a frozen name; judge by E6.	user-ban
en	pay(ing)? (it |this )?down	borrowed	(say what gets done)		user-ban
zh	取得了?(显著|明显|积极)?(成效|成果|进展|突破)	puffery	(说清楚做成了什么)	播报体套话，A1。	anchor-cost
zh	迈上(了)?新台阶	puffery	(说清楚变化是什么)	同上。	anchor-cost
zh	开创(了)?(新)?局面	puffery	(说清楚开始做什么了)	同上。	anchor-cost
zh	再上(一个)?新台阶	puffery	(说清楚变化是什么)		anchor-cost
zh	广大(人民)?(群众|用户|开发者|读者)	puffery	(说清楚是谁)	泛指集体主语，会把 D2 无源归属带进来。	anchor-cost
zh	有关(方面|部门)	puffery	(说清楚是谁)	同上。	anchor-cost
zh	各方(共同)?努力	puffery	(说清楚谁做了什么)	同上。	anchor-cost
zh	为.{0,10}(提供|注入)(了)?(强大|坚实|有力)(的)?(动力|支撑|保障)	puffery	(说清楚起了什么作用)		anchor-cost
zh	谱写(了)?	puffery	(直接说做了什么)		anchor-cost
zh	翻开(了)?新的?一页	puffery	(说清楚变化是什么)		anchor-cost
zh	对齐一下	jargon	(说清楚要确认什么)		membership
zh	飞轮	jargon	(说清楚哪个环节推动哪个)	借域词，同时命中 H6。	membership
zh	势能	jargon	(说清楚有什么条件)	物理域借喻。	membership
zh	卡位|卡身位	jargon	(说清楚占了什么位置)		membership
zh	生态位	jargon	(说清楚是哪一类)	生态学里是术语，按 E6 判。	membership
zh	加持	jargon	(说清楚加了什么)		membership
zh	破圈|出圈	jargon	(说清楚被谁看见了)		membership
zh	复盘	jargon	回顾 / 事后检查	棋类里是本义，按 E6 判。	membership
zh	打法	jargon	(说清楚是什么做法)	战术里是本义。	membership
zh	抓变量	jargon	(说清楚要改哪个条件)		membership
zh	认知(升级|差)	jargon	(说清楚知道了什么)		membership
zh	玩明白了?	vocab	(说清楚会用了什么)		membership
zh	这波	vocab	这次		membership
zh	拿捏	vocab	(说清楚控制住了什么)		membership
zh	上强度	vocab	(说清楚加了什么难度)		membership
zh	含金量	vocab	(说清楚价值在哪)		membership
zh	有一说一	stance	(删掉)	自评式插话，A5。	membership
zh	讲真|说真的	stance	(删掉)	同上。	membership
zh	整(个)?活	vocab	(说清楚做了什么)		membership
zh	属实是	vocab	确实		membership
zh	格局	jargon	(说清楚看的是什么范围)		membership
en	circle back	jargon	(say when and about what)		membership
en	double click on	jargon	look at in detail		membership
en	table stakes	jargon	the minimum		membership
en	move the needle	jargon	(say what changes)		membership
en	north star	jargon	(name the goal)	borrowed domain; also H6.	membership
en	first principles	jargon	(say what you started from)		membership
en	high signal	jargon	(say what it tells you)		membership
en	galaxy[- ]brain	vocab	(say the idea plainly)		membership
en	big[- ]brain	vocab	(say the idea plainly)		membership
en	skill issue	vocab	(say what went wrong)		membership
en	awe and wonder	puffery	(say what you saw)		manifesto-corpus
en	our shared humanity	puffery	(say what is shared)		manifesto-corpus
en	a brighter future	closer	(say what changes, and by when)	A6 generic positive ending.	manifesto-corpus
en	a common thread	borrowed	(say what they have in common)	textile domain; also the metaphor ban.	manifesto-corpus
en	embrace (our|their|the) (differences|diversity)	puffery	(say what you would do)		manifesto-corpus
en	celebrate (our|the) diversity	puffery	(say what you would do)		manifesto-corpus
en	the (endless|boundless) (expanse|diversity|possibilities)	puffery	(give the number or the range)		manifesto-corpus
en	in this age of	template	(give the years, or cut)	B6 rhetorical setup.	manifesto-corpus
en	work(ing)? towards a (brighter|better) (future|tomorrow|world)	closer	(name the next action)		manifesto-corpus
en	more harmonious and inclusive	puffery	(say what would be different)		manifesto-corpus
