> deslop merged lexicon — one candidate per row. The scanner reports hits; it never rewrites.
> Columns: lang  pattern  category  replacement  note  source
> lang: en | zh   ·   pattern: Python regex (ASCII patterns get \b…\b added automatically)
> category: vocab puffery editorial transition template shape jargon hedge assistant physical
>           borrowed unsettled-term stance opener closer empathy debug violence
> note: when the word is legitimate. A blank note does NOT mean "always wrong" — see SKILL.md.
> source: deslop | shuorenhua | humanizer-zh | natural-talk (first table it entered from)
> Upstream sources of the words themselves: WP:AIVOCAB · Wikipedia:Signs of AI writing ·
> Kobak et al. 2025 (Science Advances 11(27)) · Juzek & Ward 2025 · HN 48905248 ·
> awesome-ai-research-writing · Chinese community lists (Linux.do / X / 即刻).
lang	pattern	category	replacement	note	source
en	delve	vocab	look at / examine	era: GPT-4. Dropped off sharply in 2025.	deslop
en	delves? into	vocab	examines		deslop
en	tapestry	puffery	(cut)	Literal textile use is fine.	deslop
en	testament	puffery	(cut, state the fact)		deslop
en	stands? as a testament	puffery	shows		deslop
en	serves? as a reminder	puffery	(cut)		deslop
en	underscore[sd]?	vocab	show / stress	Literal underline mark, or film scoring, is fine.	deslop
en	showcas(e|es|ed|ing)	vocab	show	era: GPT-4o and later. Still elevated in 2026.	deslop
en	pivotal	vocab	central / decisive		deslop
en	meticulous(ly)?	vocab	careful(ly)		deslop
en	intricate	vocab	detailed / complicated		deslop
en	intricacies	vocab	details		deslop
en	interplay	vocab	interaction		deslop
en	landscape	vocab	field / market / situation	Actual scenery or a landscape orientation is fine.	deslop
en	realm	vocab	field / area		deslop
en	robust	vocab	(say what it withstands)	Statistics term of art: robust estimator.	deslop
en	vibrant	puffery	(cut)		deslop
en	boasts	puffery	has		deslop
en	bolstered	vocab	strengthened / supported		deslop
en	garner(ed|ing)?	vocab	get / receive		deslop
en	foster(s|ed|ing)?	vocab	encourage / cause	Foster care, foster parent.	deslop
en	enhanc(e|es|ed|ing)	vocab	improve / add to		deslop
en	enduring	puffery	lasting / (cut)		deslop
en	crucial	vocab	necessary / decisive	Kobak: one of the ten highest-impact excess words.	deslop
en	valuable insights?	template	(say what was learned)		deslop
en	align(s|ed)? with	vocab	matches / agrees with		deslop
en	resonate(s|d)? with	vocab	(cut, or: appeals to)		deslop
en	emphasi[sz](e|es|ed|ing)	vocab	stress / say	era: elevated in every era through 2026.	deslop
en	highlight(s|ed|ing)	vocab	show / point out	Literal highlighting of text is fine.	deslop
en	Additionally	transition	Also, / (cut)	Sentence-initial. Kobak's list.	deslop
en	Moreover,	transition	(cut)		deslop
en	Furthermore,	transition	(cut)		deslop
en	Notably,	transition	(cut)		deslop
en	comprehensive	puffery	complete / full		deslop
en	holistic	jargon	(say what it covers)		deslop
en	seamless(ly)?	puffery	(cut)		deslop
en	myriad	vocab	many		deslop
en	plethora	vocab	many / too many		deslop
en	harness(ing)?	vocab	use	Test/agent harness is an established name; literal harness is also fine.	deslop
en	unlock(s|ing)?	puffery	(cut, or: allow)		deslop
en	elevat(e|es|ed|ing)	puffery	raise / improve		deslop
en	embark(ing)? on	puffery	start		deslop
en	journey	puffery	(cut)	A literal trip is fine.	deslop
en	cornerstone	puffery	(cut, or: basis)		deslop
en	beacon	puffery	(cut)		deslop
en	paradigm	jargon	model / approach	Kuhn's paradigm shift, in context.	deslop
en	synergy	jargon	(cut)		deslop
en	ever-evolving	puffery	changing		deslop
en	fast-paced	puffery	(cut)		deslop
en	in today's [a-z-]+ (age|era|world|landscape)	template	(cut)		deslop
en	navigat(e|es|ing) the (complexities|challenges|landscape)	puffery	deal with		deslop
en	plays? an? (vital|crucial|key|significant|pivotal) role	puffery	(say what it does)		deslop
en	leaves? a lasting (impact|impression)	puffery	(cut)		deslop
en	setting the stage for	template	(cut)		deslop
en	marks? a (shift|turning point)	template	(say what changed)		deslop
en	key turning point	template	(cut)		deslop
en	indelible mark	puffery	(cut)		deslop
en	deeply rooted	puffery	(cut)		deslop
en	nestled in the heart of	puffery	in		deslop
en	rich (cultural )?(heritage|history|tradition)	puffery	(cut)		deslop
en	groundbreaking	puffery	new / first		deslop
en	renowned	puffery	well-known / (cut)		deslop
en	diverse array	puffery	range		deslop
en	it'?s (important|critical|crucial|worth) (to )?(note|noting|remember|consider)	editorial	(cut, state it)		deslop
en	It is worth noting	editorial	(cut)		deslop
en	In (summary|conclusion)	template	(cut)		deslop
en	Overall,	template	(cut)		deslop
en	Despite (its|these) (challenges|limitations)	template	(cut)		deslop
en	Future (Outlook|Prospects|Directions)	template	(say what is next)		deslop
en	Challenges and (Legacy|Opportunities)	template	(name them)		deslop
en	Industry reports	editorial	(cite one)		deslop
en	Experts (argue|say|believe)	editorial	(name the expert)		deslop
en	Observers have (cited|noted)	editorial	(name them)		deslop
en	Some critics argue	editorial	(name the critic)		deslop
en	load-bearing	jargon	(say what it carries)	HN 48905248.	deslop
en	key insight	jargon	(state the insight)	HN 48905248.	deslop
en	synthesi[sz](e|es|ed|ing)	jargon	combine / summarize	HN 48905248. Chemistry sense is fine.	deslop
en	(the )?honest (take|caveat|answer)	editorial	(cut, just say it)	HN 48905248.	deslop
en	Good question	assistant	(cut)	HN 48905248.	deslop
en	You'?re absolutely right	assistant	(cut)		deslop
en	I hope this helps	assistant	(cut)		deslop
en	Certainly!	assistant	(cut)		deslop
en	Of course!	assistant	(cut)		deslop
en	Would you like	assistant	(cut)		deslop
en	let me know if	assistant	(cut)		deslop
en	as of my last (knowledge )?(update|training)	hedge	(cut, or give the date)		deslop
en	Up to my last training update	hedge	(cut)		deslop
en	based on (the )?available (information|sources)	hedge	(cut, or name the source)		deslop
en	not widely (available|documented|disclosed)	hedge	(say what you checked)		deslop
en	as an? (AI|large) language model	assistant	(cut)		deslop
en	not just [^,.]{2,40}, but( also)?	shape	(state Y only)	Negative parallelism. Counted indicator.	deslop
en	(isn'?t|is not) (just )?[^,.]{2,40}, (it'?s|but)	shape	(state Y only)	Counted indicator.	deslop
en	rather than merely	shape	(state it plainly)		deslop
zh	赋能	jargon	(说清楚给了什么)		deslop
zh	底层逻辑	jargon	原理 / 机制		deslop
zh	认知升级	jargon	(删)		deslop
zh	闭环	jargon	(说清楚哪一环接回哪一环)	控制论/工程语境里是术语。	deslop
